Building,Metric,GRU,LSTM,Transformer,VMD_Optuna_TCN
Wolf,MAE,10.350709914506648,13.106331884440252,13.559832496269076,16.724035664043075
Wolf,RMSE,15.168789583637537,19.166236779537492,18.779216875623074,21.11978678296353
Wolf,MAPE,4.848953199836465,6.078519965517783,6.143686264784019,7.917796358237758
Wolf,SMAPE,4.718017301517596,5.830484308244616,5.898357115982429,7.512702957284942
Wolf,R2,0.9671874625405472,0.9476144315638522,0.9497086935644616,0.9363912265310356
Bull,MAE,1.3152804822508806,1.3453670931531785,1.1771159077915552,0.6789083228175109
Bull,RMSE,1.924191489026274,1.9592957571442016,1.804686177227198,1.0581761872626798
Bull,MAPE,6.80208485121646,6.423609790514733,6.07159957927582,3.4171504401115613
Bull,SMAPE,6.454063544265791,6.61679514499456,5.764505768720409,3.3564273755047918
Bull,R2,0.4047790851101543,0.3828629781920553,0.4764176618928265,0.8199896100997931
Robin,MAE,7.614662937634555,8.73300884575029,8.273128051735107,7.461861742387847
Robin,RMSE,10.392440989961392,11.729597691538304,10.68598374999189,9.61623823135352
Robin,MAPE,5.723267849322079,6.345204694861867,6.328469271583524,5.872902067615586
Robin,SMAPE,5.625568806104637,6.209461284805209,6.094867650641282,5.668455285831238
Robin,R2,0.9397403049695616,0.9232359237029892,0.9362880622699262,0.9484056407973857
Fox,MAE,4.266148745920144,4.21249923696705,4.632918871945026,2.9702623190056863
Fox,RMSE,5.873398847883416,5.740570120739359,6.0422564818824975,3.863822943449288
Fox,MAPE,4.961284854314039,4.927818658892058,5.579868299296287,3.5941295518229754
Fox,SMAPE,4.875412242215738,4.834543372812077,5.363133931912312,3.5384915044817395
Fox,R2,0.8620117005878998,0.8681824221044807,0.8539634422702116,0.9402830375365722
Rat,MAE,5.647053142400349,6.437862192626093,5.01416760561513,4.5710080893997
Rat,RMSE,8.052812865479028,8.894492016946636,7.382205398597637,6.130245301541532
Rat,MAPE,16.52720524130043,17.17943605467638,14.182717017974683,12.856102086067756
Rat,SMAPE,14.93381252782208,17.357189202775146,12.932419133635223,12.137997766778575
Rat,R2,0.8438228425373587,0.8094694594377188,0.8687514393080673,0.9094938675994624
Eagle,MAE,3.259069635886772,3.215526647517261,3.319104938335045,2.0534383216705185
Eagle,RMSE,4.105509093870395,4.139395850244527,4.158802009608951,2.612404876818568
Eagle,MAPE,9.663203864318556,9.14079118743672,9.982589792796254,5.860257096150162
Eagle,SMAPE,9.41606683853307,9.239608392372316,9.575186062162071,5.870910450257419
Eagle,R2,0.6014477795428455,0.5948413493627314,0.5910335454526787,0.838626518807177
