Model,Epoch,Train_Loss,Val_Loss,Best_Val_Loss,Saved_Best,Learning_Rate,Seed
TCN,1,0.05207199737706072,0.03389222246043244,0.03389222246043244,1,0.0033057094655629476,42
TCN,2,0.04002063537500304,0.03333544237507387,0.03333544237507387,1,0.0033057094655629476,42
TCN,3,0.03582747159350836,0.02876650525075018,0.02876650525075018,1,0.0033057094655629476,42
TCN,4,0.03429365295369009,0.030686305803213024,0.02876650525075018,0,0.0033057094655629476,42
TCN,5,0.03352951705289396,0.02852984225075873,0.02852984225075873,1,0.0033057094655629476,42
TCN,6,0.0328324632292534,0.029707917792217188,0.02852984225075873,0,0.0033057094655629476,42
TCN,7,0.032490209343984375,0.029820517282225765,0.02852984225075873,0,0.0033057094655629476,42
TCN,8,0.03232325453428953,0.03641502606456403,0.02852984225075873,0,0.0033057094655629476,42
TCN,9,0.03178455969625918,0.02887917238501387,0.02852984225075873,0,0.0033057094655629476,42
TCN,10,0.03139035630949009,0.028735338228992297,0.02852984225075873,0,0.0033057094655629476,42
TCN,11,0.03135139852774168,0.03221087477351904,0.02852984225075873,0,0.0033057094655629476,42
TCN,12,0.03145328914640839,0.03026907739357438,0.02852984225075873,0,0.0033057094655629476,42
TCN,13,0.031146833838223455,0.02868638355296849,0.02852984225075873,0,0.0033057094655629476,42
TCN,14,0.031234351937086128,0.029903777663630938,0.02852984225075873,0,0.0033057094655629476,42
TCN,15,0.03078249967953534,0.030965658912948515,0.02852984225075873,0,0.0033057094655629476,42
TCN,16,0.03048414747630456,0.03157953278252175,0.02852984225075873,0,0.0033057094655629476,42
TCN,17,0.030436572802657935,0.03082841182776819,0.02852984225075873,0,0.0033057094655629476,42
TCN,18,0.0303316687443219,0.026853287995960994,0.026853287995960994,1,0.0033057094655629476,42
TCN,19,0.029962024304834915,0.027193072568343114,0.026853287995960994,0,0.0033057094655629476,42
TCN,20,0.030023999885919167,0.028114168677056278,0.026853287995960994,0,0.0033057094655629476,42
TCN,21,0.029697464205635234,0.030125251096282345,0.026853287995960994,0,0.0033057094655629476,42
TCN,22,0.02998849161803736,0.02966164988259,0.026853287995960994,0,0.0033057094655629476,42
TCN,23,0.03004170620521301,0.03180592079536033,0.026853287995960994,0,0.0033057094655629476,42
TCN,24,0.030104902451555022,0.028313250873522332,0.026853287995960994,0,0.0033057094655629476,42
TCN,25,0.029986304734618947,0.028467221917034644,0.026853287995960994,0,0.0033057094655629476,42
