K,Alpha,Dataset,MAE,MSE,RMSE,MAPE,SMAPE,R2
4,2000,cross,1.1874755439730702,2.278255054352197,1.5093889672156071,1.7740839148431264,1.7726222692331988,0.9338647965663709
5,2000,cross,1.169674431798692,2.176538692304951,1.4753096936931416,1.7468808105348201,1.7457657853124167,0.9368175091187572
6,1000,cross,0.37963276608007246,0.25448175322877226,0.5044618451664826,0.5685721270567656,0.5682425660949046,0.9926126785112227
6,2000,cross,1.129465289079191,1.9786139732295682,1.4066321385598894,1.68896123640517,1.6881297075580166,0.9425630429805557
6,3000,cross,1.3092282247895597,2.654125270153603,1.6291486335364258,1.9562576133061085,1.9555098442089076,0.9229537033860086
7,2000,cross,1.1135647988614432,1.9204083448342117,1.385787986971388,1.664834587404276,1.6642732047549398,0.9442526874598055
8,2000,cross,0.45994994838441516,0.38116991199390765,0.6173895949835142,0.6858694096064804,0.6852785239910837,0.9889350625495864
4,2000,holdout,4.425264905438661,80.88101307872759,5.819020093628585,4.438061980475285,4.349986813879174,0.9313399808073841
5,2000,holdout,3.0710049981274885,34.45222390028588,4.259710110063716,3.6308367620623243,3.5676278312532834,0.9487055085447148
6,1000,holdout,1.9827008015571923,15.506083776174437,2.7207799291032404,2.236993506048797,2.211045654054481,0.9806693921222326
6,2000,holdout,2.8718251027799955,31.557062292972606,3.975402070743833,3.258843652764137,3.20309717247714,0.9596555256103251
6,3000,holdout,3.376962802451206,43.6429957845445,4.70934651777395,3.8496926942374663,3.7704118409689595,0.9438343146562143
7,2000,holdout,2.6155831667033884,26.629429621936456,3.648210026725566,2.9529968562873528,2.90657477951323,0.9667268734233581
8,2000,holdout,2.495904861978295,25.25468908268896,3.4485542591785268,2.689975696871589,2.6511385106764864,0.9769064002752211
4,2000,test,5.792967096843808,107.98214457922865,7.107441720389564,5.852247956103112,5.714721885853788,0.9186724808117742
5,2000,test,5.197403395103856,96.12298010810805,6.450319111946304,5.217847923896772,5.100488301510732,0.9346315818510975
6,1000,test,2.429922855885925,17.774557423803547,3.1635187716913915,2.9702864195614307,2.924719365371754,0.9767289889152438
6,2000,test,3.560593724419902,38.400979392187686,4.632534580661473,4.283887894042757,4.194359725034308,0.9535226076800275
6,3000,test,4.259127836311989,53.87653528349184,5.5096132013151005,5.06018634283092,4.934270859180367,0.936528638265716
7,2000,test,3.08604742290755,31.312771180535833,4.02150027609721,3.4765925636030413,3.416724242829167,0.9697903762965162
8,2000,test,2.8644761525909943,29.199324393127345,3.7419329414422022,3.073710324483617,3.0241204673947784,0.9770502633688628
